# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.186743e-01	4.373104e-01	5.725257e-01
3             	1.777045e-01	1.691498e-01	1.574083e-01
4             	3.031498e-01	4.898313e-02	5.733305e-02
5             	1.737910e-01	1.257714e-01	1.507897e-01
6             	2.351351e-01	1.420920e-01	1.674032e-01
7             	3.930186e-01	9.902939e-02	1.227019e-01
8             	2.486324e-01	1.140680e-01	1.192795e-01
9             	3.292968e-01	7.655882e-02	7.893004e-02
10            	3.432718e-01	5.414785e-02	6.804431e-02
11            	2.665558e-01	6.242184e-02	7.445104e-02
12            	3.296111e-01	6.414434e-02	6.615029e-02
13            	4.658172e-01	5.841330e-02	6.845530e-02
14            	3.439427e-01	5.702199e-02	6.300754e-02
15            	4.153268e-01	4.928548e-02	5.357223e-02
16            	3.604275e-01	4.340317e-02	5.247199e-02
17            	2.689512e-01	4.546048e-02	5.272135e-02
18            	2.822462e-01	4.388065e-02	4.680526e-02
19            	5.282522e-01	4.161151e-02	4.758391e-02
20            	3.997825e-01	3.997607e-02	4.780315e-02
21            	3.709438e-01	3.802425e-02	4.304894e-02
22            	4.337272e-01	3.322586e-02	3.861274e-02
23            	2.672003e-01	3.273842e-02	3.915282e-02
24            	2.401693e-01	3.424287e-02	3.839165e-02
25            	2.968169e-01	3.236769e-02	3.536067e-02
26            	4.538584e-01	3.041297e-02	3.448839e-02
27            	3.648689e-01	2.955497e-02	3.365960e-02
28            	4.003913e-01	2.798916e-02	2.946355e-02
29            	3.092286e-01	2.526245e-02	2.623757e-02
30            	2.177405e-01	2.661401e-02	2.717503e-02
31            	2.025447e-01	2.736911e-02	2.606263e-02
32            	2.362859e-01	2.506745e-02	2.320979e-02
33            	2.921109e-01	2.296681e-02	2.116164e-02
34            	3.195827e-01	2.332039e-02	2.053871e-02
35            	2.798472e-01	2.252085e-02	1.868748e-02
36            	2.100688e-01	2.128599e-02	1.742047e-02
37            	1.702486e-01	2.126616e-02	1.760325e-02
38            	1.600728e-01	2.091893e-02	1.642182e-02
39            	1.663764e-01	1.966341e-02	1.465491e-02
40            	1.793686e-01	1.893343e-02	1.353709e-02
41            	1.722485e-01	1.902249e-02	1.367168e-02
42            	1.487508e-01	1.870784e-02	1.391269e-02
43            	1.261019e-01	1.830602e-02	1.406555e-02
44            	1.159072e-01	1.792688e-02	1.356291e-02
45            	1.132696e-01	1.716115e-02	1.270014e-02
46            	1.099809e-01	1.644248e-02	1.181078e-02
47            	1.054526e-01	1.621298e-02	1.143951e-02
48            	9.763286e-02	1.607939e-02	1.136972e-02
49            	8.772258e-02	1.604715e-02	1.166647e-02
50            	7.867203e-02	1.586760e-02	1.188098e-02
51            	7.198121e-02	1.529180e-02	1.187113e-02
52            	6.868565e-02	1.472668e-02	1.142944e-02
53            	6.647697e-02	1.460187e-02	1.070956e-02
54            	6.548925e-02	1.455617e-02	1.000485e-02
55            	5.939217e-02	1.427973e-02	9.792121e-03
56            	5.125719e-02	1.400338e-02	9.883869e-03
57            	4.675544e-02	1.368066e-02	9.893741e-03
58            	4.567567e-02	1.338668e-02	9.612917e-03
59            	4.532257e-02	1.306354e-02	9.118359e-03
60            	4.349994e-02	1.274315e-02	8.671697e-03
61            	4.051802e-02	1.236652e-02	8.354665e-03
62            	3.723599e-02	1.196753e-02	8.198630e-03
63            	3.399544e-02	1.159699e-02	8.086411e-03
64            	3.268271e-02	1.119047e-02	7.909698e-03
65            	3.106221e-02	1.071980e-02	7.623551e-03
66            	3.008804e-02	1.025365e-02	7.305628e-03
67            	2.878762e-02	9.838035e-03	7.033994e-03
68            	2.654315e-02	9.436049e-03	6.744918e-03
69            	2.485525e-02	9.071276e-03	6.430982e-03
70            	2.367173e-02	8.721835e-03	6.087651e-03
71            	2.239516e-02	8.383870e-03	5.718785e-03
72            	2.116309e-02	8.034715e-03	5.330930e-03
73            	1.981916e-02	7.694120e-03	4.926522e-03
74            	1.860039e-02	7.352075e-03	4.521063e-03
75            	1.771216e-02	7.007528e-03	4.107443e-03
76            	1.687532e-02	6.673130e-03	3.729018e-03
77            	1.590100e-02	6.334295e-03	3.352149e-03
78            	1.471250e-02	5.991267e-03	3.027686e-03
79            	1.351451e-02	5.658037e-03	2.750815e-03
80            	1.249933e-02	5.337627e-03	2.522160e-03
81            	1.168944e-02	5.017796e-03	2.325910e-03
82            	1.084157e-02	4.725819e-03	2.148332e-03
83            	1.005429e-02	4.475268e-03	1.989407e-03
84            	9.083231e-03	4.204362e-03	1.843125e-03
85            	8.280945e-03	3.969260e-03	1.702015e-03
86            	7.498339e-03	3.749063e-03	1.600323e-03
87            	6.827415e-03	3.553488e-03	1.519697e-03
88            	6.372020e-03	3.380072e-03	1.448013e-03
89            	5.950505e-03	3.227689e-03	1.369261e-03
90            	5.516532e-03	3.093576e-03	1.293577e-03
91            	5.074785e-03	2.967305e-03	1.216657e-03
92            	4.652956e-03	2.843014e-03	1.139722e-03
93            	4.348788e-03	2.718387e-03	1.067539e-03
94            	4.161647e-03	2.592610e-03	1.003911e-03
95            	4.024147e-03	2.478446e-03	9.443335e-04
96            	3.876828e-03	2.381544e-03	8.948593e-04
97            	3.643332e-03	2.289709e-03	8.547092e-04
98            	3.367378e-03	2.196963e-03	8.216178e-04
99            	3.112131e-03	2.099869e-03	7.872857e-04
100           	2.943727e-03	2.005267e-03	7.575219e-04
101           	2.820064e-03	1.916415e-03	7.325418e-04
102           	2.687171e-03	1.831941e-03	7.059375e-04
103           	2.542782e-03	1.751345e-03	6.789172e-04
104           	2.439523e-03	1.677582e-03	6.539720e-04
105           	2.313215e-03	1.603485e-03	6.310398e-04
106           	2.212133e-03	1.536022e-03	6.094403e-04
107           	2.141123e-03	1.476066e-03	5.910792e-04
108           	2.065456e-03	1.423456e-03	5.743648e-04
109           	1.985522e-03	1.375028e-03	5.592432e-04
110           	1.906157e-03	1.326865e-03	5.457422e-04
111           	1.789530e-03	1.280702e-03	5.351581e-04
112           	1.683347e-03	1.240873e-03	5.277943e-04
113           	1.582611e-03	1.203200e-03	5.208711e-04
114           	1.525602e-03	1.167138e-03	5.146399e-04
115           	1.460291e-03	1.133565e-03	5.051761e-04
116           	1.395308e-03	1.102422e-03	5.009164e-04
117           	1.347569e-03	1.072855e-03	4.979994e-04
118           	1.308914e-03	1.044864e-03	4.945525e-04
119           	1.271197e-03	1.018506e-03	4.900606e-04
120           	1.231754e-03	9.944738e-04	4.848864e-04
121           	1.191970e-03	9.711262e-04	4.797432e-04
122           	1.155031e-03	9.482806e-04	4.747778e-04
123           	1.122169e-03	9.259561e-04	4.694546e-04
124           	1.091195e-03	9.042339e-04	4.643523e-04
125           	1.065674e-03	8.832307e-04	4.591487e-04
126           	1.043511e-03	8.629564e-04	4.534794e-04
127           	1.021528e-03	8.433602e-04	4.473142e-04
128           	9.991273e-04	8.243859e-04	4.406631e-04
129           	9.778570e-04	8.059619e-04	4.335403e-04
130           	9.582204e-04	7.881214e-04	4.259614e-04
131           	9.386652e-04	7.708347e-04	4.179819e-04
