# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	4.045081e-01	3.053408e-01	4.632217e-01
3             	4.559767e-01	1.588268e-01	1.461966e-01
4             	7.521932e-01	5.164221e-02	5.841477e-02
5             	4.634870e-01	7.672556e-02	1.417680e-01
6             	4.712319e-01	8.565452e-02	2.189131e-01
7             	8.661014e-01	5.143487e-02	1.414056e-01
8             	6.124920e-01	6.657173e-02	1.458613e-01
9             	5.793195e-01	6.333232e-02	1.033592e-01
10            	7.089701e-01	4.269252e-02	6.401592e-02
11            	6.259542e-01	3.037588e-02	5.455042e-02
12            	4.428004e-01	3.672590e-02	7.373718e-02
13            	4.776021e-01	3.313881e-02	5.989947e-02
14            	8.224384e-01	2.710940e-02	4.366060e-02
15            	7.364888e-01	2.869494e-02	4.721679e-02
16            	5.495844e-01	2.563487e-02	4.327708e-02
17            	6.608963e-01	2.072629e-02	3.674329e-02
18            	6.088740e-01	2.116784e-02	3.840941e-02
19            	5.048546e-01	2.275787e-02	3.348658e-02
20            	3.783823e-01	2.241803e-02	2.899606e-02
21            	6.136542e-01	2.040066e-02	3.025989e-02
22            	6.665499e-01	1.934168e-02	3.070654e-02
23            	5.882231e-01	1.814756e-02	3.008132e-02
24            	4.332912e-01	1.721194e-02	2.820875e-02
25            	3.614912e-01	1.824637e-02	2.786510e-02
26            	3.302388e-01	1.924535e-02	2.802364e-02
27            	3.540513e-01	1.786055e-02	2.579382e-02
28            	4.332297e-01	1.611322e-02	2.638586e-02
29            	4.852593e-01	1.603953e-02	2.781286e-02
30            	4.687337e-01	1.591224e-02	2.752803e-02
31            	3.602454e-01	1.525048e-02	2.555652e-02
32            	2.759999e-01	1.553041e-02	2.606374e-02
33            	2.558266e-01	1.600585e-02	2.649302e-02
34            	2.684326e-01	1.526947e-02	2.555519e-02
35            	3.050561e-01	1.419833e-02	2.440352e-02
36            	3.431289e-01	1.408159e-02	2.504805e-02
37            	3.468020e-01	1.404541e-02	2.543975e-02
38            	3.078418e-01	1.375923e-02	2.452895e-02
39            	2.478005e-01	1.357330e-02	2.394562e-02
40            	2.178027e-01	1.393831e-02	2.438081e-02
41            	2.084107e-01	1.386007e-02	2.410586e-02
42            	2.140398e-01	1.332315e-02	2.354933e-02
43            	2.267385e-01	1.266249e-02	2.282628e-02
44            	2.399133e-01	1.251120e-02	2.264871e-02
45            	2.374322e-01	1.254252e-02	2.241657e-02
46            	2.188426e-01	1.242628e-02	2.202368e-02
47            	1.939444e-01	1.244055e-02	2.246455e-02
48            	1.735806e-01	1.267864e-02	2.318436e-02
49            	1.683579e-01	1.282636e-02	2.350949e-02
50            	1.752533e-01	1.278057e-02	2.344283e-02
51            	1.798709e-01	1.273072e-02	2.307024e-02
52            	1.795355e-01	1.267218e-02	2.287354e-02
53            	1.804747e-01	1.281791e-02	2.289648e-02
54            	1.741502e-01	1.315491e-02	2.336268e-02
55            	1.610701e-01	1.372738e-02	2.419884e-02
56            	1.483864e-01	1.441522e-02	2.507763e-02
57            	1.437636e-01	1.507529e-02	2.563676e-02
58            	1.427319e-01	1.563142e-02	2.592224e-02
59            	1.427594e-01	1.606375e-02	2.601945e-02
60            	1.458359e-01	1.650528e-02	2.640513e-02
61            	1.526453e-01	1.705215e-02	2.717501e-02
62            	1.565954e-01	1.780331e-02	2.824188e-02
63            	1.532957e-01	1.861266e-02	2.935379e-02
64            	1.472729e-01	1.932234e-02	3.018935e-02
65            	1.400849e-01	1.994257e-02	3.079496e-02
66            	1.366672e-01	2.044909e-02	3.127276e-02
67            	1.367883e-01	2.091937e-02	3.178556e-02
68            	1.367701e-01	2.141666e-02	3.256227e-02
69            	1.373918e-01	2.197815e-02	3.346699e-02
70            	1.375528e-01	2.265612e-02	3.436812e-02
71            	1.357836e-01	2.334551e-02	3.517807e-02
72            	1.333260e-01	2.401308e-02	3.594017e-02
73            	1.308759e-01	2.464430e-02	3.674078e-02
74            	1.287636e-01	2.526890e-02	3.767386e-02
75            	1.289455e-01	2.581514e-02	3.876505e-02
76            	1.294727e-01	2.634760e-02	4.004134e-02
77            	1.299614e-01	2.691466e-02	4.129532e-02
78            	1.267475e-01	2.739380e-02	4.234396e-02
79            	1.219227e-01	2.771468e-02	4.321825e-02
80            	1.169491e-01	2.808605e-02	4.408319e-02
81            	1.132711e-01	2.835277e-02	4.468924e-02
82            	1.112641e-01	2.858842e-02	4.542849e-02
83            	1.123417e-01	2.887739e-02	4.607982e-02
84            	1.123517e-01	2.900798e-02	4.665043e-02
85            	1.146099e-01	2.926142e-02	4.716481e-02
86            	1.171653e-01	2.930910e-02	4.734871e-02
87            	1.175441e-01	2.937823e-02	4.723366e-02
88            	1.211747e-01	2.939227e-02	4.709994e-02
89            	1.257869e-01	2.932805e-02	4.644972e-02
90            	1.275834e-01	2.919931e-02	4.590860e-02
91            	1.293981e-01	2.898988e-02	4.493863e-02
92            	1.356113e-01	2.869812e-02	4.387992e-02
93            	1.407006e-01	2.836424e-02	4.279061e-02
94            	1.389780e-01	2.795486e-02	4.146328e-02
95            	1.381399e-01	2.752723e-02	4.038760e-02
96            	1.421451e-01	2.698641e-02	3.895142e-02
97            	1.441918e-01	2.638875e-02	3.753343e-02
98            	1.401535e-01	2.572953e-02	3.635894e-02
99            	1.361448e-01	2.499603e-02	3.534159e-02
100           	1.351828e-01	2.428943e-02	3.453196e-02
101           	1.369363e-01	2.346868e-02	3.360049e-02
102           	1.324545e-01	2.259155e-02	3.283413e-02
103           	1.267261e-01	2.169752e-02	3.233771e-02
104           	1.254228e-01	2.086628e-02	3.203895e-02
105           	1.278873e-01	2.005809e-02	3.187091e-02
106           	1.326737e-01	1.928326e-02	3.172852e-02
107           	1.350176e-01	1.855125e-02	3.164186e-02
108           	1.366194e-01	1.800432e-02	3.171113e-02
109           	1.365864e-01	1.746284e-02	3.151309e-02
110           	1.361827e-01	1.703316e-02	3.126001e-02
111           	1.369589e-01	1.674538e-02	3.109501e-02
112           	1.379648e-01	1.655114e-02	3.102472e-02
113           	1.368546e-01	1.644363e-02	3.103739e-02
114           	1.324533e-01	1.636222e-02	3.108486e-02
115           	1.258750e-01	1.629273e-02	3.112714e-02
116           	1.212748e-01	1.620488e-02	3.116305e-02
117           	1.188262e-01	1.612683e-02	3.127572e-02
118           	1.162465e-01	1.607591e-02	3.138960e-02
119           	1.150757e-01	1.604316e-02	3.148853e-02
120           	1.127232e-01	1.604074e-02	3.156054e-02
121           	1.093300e-01	1.606778e-02	3.148544e-02
122           	1.056223e-01	1.610533e-02	3.141880e-02
123           	1.011097e-01	1.613733e-02	3.120351e-02
124           	9.923336e-02	1.614726e-02	3.088341e-02
125           	9.847039e-02	1.615522e-02	3.063439e-02
126           	9.942642e-02	1.619129e-02	3.031956e-02
127           	9.990636e-02	1.623943e-02	2.996585e-02
128           	1.000021e-01	1.628636e-02	2.973447e-02
129           	9.921592e-02	1.629908e-02	2.934363e-02
130           	9.843399e-02	1.630953e-02	2.902174e-02
131           	9.881832e-02	1.631194e-02	2.874894e-02
132           	9.862029e-02	1.630411e-02	2.846515e-02
133           	9.821990e-02	1.631000e-02	2.832363e-02
134           	9.747670e-02	1.630223e-02	2.825869e-02
135           	9.648612e-02	1.630055e-02	2.822536e-02
136           	9.498146e-02	1.630206e-02	2.828492e-02
137           	9.359544e-02	1.631496e-02	2.841665e-02
138           	9.258939e-02	1.635143e-02	2.861076e-02
139           	9.222165e-02	1.639365e-02	2.885115e-02
140           	9.234813e-02	1.644741e-02	2.916582e-02
141           	9.328647e-02	1.650899e-02	2.950302e-02
142           	9.531223e-02	1.657533e-02	2.980341e-02
143           	9.750509e-02	1.664034e-02	3.005861e-02
144           	9.976207e-02	1.672366e-02	3.030363e-02
145           	1.022894e-01	1.680371e-02	3.055671e-02
146           	1.057119e-01	1.692304e-02	3.078899e-02
147           	1.099720e-01	1.706639e-02	3.099125e-02
